Province,Sassari,Nuoro,Cagliari,Oristano,Crotone,Salerno,Reggio di Calabria,Vibo Valentia,Catanzaro,Livorno,Pisa,Foggia,Siracusa,Agrigento,Grosseto,Ragusa,Palermo,Viterbo,Imperia
Sassari,0.0,963.1589998041843,2160.7849671226663,450.811814621941,45.426097482646945,750.1355988178889,317.62552369424463,42.396268639937134,70.84303695152157,2708.548413331261,1742.8841101285086,189.0246901784851,2257.7199417319457,78.35391742026367,770.9061847035815,314.5443584594314,521.1998383149557,107.77439436085703,63.91915101087837
Nuoro,963.1589998041843,0.0,657.9059551453614,114.33964801713044,10.920380386422957,184.98553615974504,78.00497679803497,10.352022427106789,17.16369541505643,553.3028298974484,357.39489687838983,45.191230425775764,552.2390451876156,19.72730545880977,168.23255765282627,77.35834473558444,134.37965634803277,24.973644903760217,11.982258898579689
Cagliari,2160.7849671226663,657.9059551453614,0.0,499.6699147313017,53.10860171601426,828.3078382511585,395.93571307988617,51.22942005674748,84.04324812133562,2041.9007132406714,1335.9456339130115,200.04556730673252,2911.6531551158914,109.0789842908452,599.1092486367987,414.9936442951153,724.9813288974057,92.8927317852488,46.07970703262019
Oristano,450.811814621941,114.33964801713044,499.6699147313017,0.0,5.4441046288816075,86.85994985466802,39.22753284604062,5.156578475928538,8.544761171626178,255.83634367888388,166.3682701016294,21.46718629545115,284.07872611863064,10.184086187786226,73.67238816039185,39.99846597754784,67.42990759233759,10.918930422217418,5.969380282988254
Crotone,45.426097482646945,10.920380386422957,53.10860171601426,5.4441046288816075,0.0,142.65671495581066,124.61328278581468,28.52638046238226,99.39150121706957,120.92792199385839,81.60320714542102,36.85414592335925,568.9199187487307,12.032494827064113,35.900506947139164,65.78060510285474,74.55830300280365,6.550427337470333,2.3806362929080294
Salerno,750.1355988178889,184.98553615974504,828.3078382511585,86.85994985466802,142.65671495581066,0.0,813.9256701092502,130.02283706412516,225.82826437400283,2152.00484920052,1445.1263296867173,1148.3812255274645,4450.675880576028,130.68376052355745,701.8795364749261,576.4922302588537,954.1907219119378,143.85777105558168,38.39384323798387
Reggio di Calabria,317.62552369424463,78.00497679803497,395.93571307988617,39.22753284604062,124.61328278581468,813.9256701092502,0.0,238.21770647558853,256.040282814351,759.75571126967,509.9880344146523,183.79390425929031,8152.92621822819,136.82580895522432,227.07671524806148,850.2549523893858,804.3283850321576,40.83958168341226,15.255536556656985
Vibo Valentia,42.396268639937134,10.352022427106789,51.22942005674748,5.156578475928538,28.52638046238226,130.02283706412516,238.21770647558853,0.0,84.38375898119433,106.53712568337924,71.6403415222334,29.621443361584593,689.5880338569486,13.969289628286296,31.987074671702683,77.63100138410383,88.1570720471421,5.83462781489713,2.1051625711770408
Catanzaro,70.84303695152157,17.16369541505643,84.04324812133562,8.544761171626178,99.39150121706957,225.82826437400283,256.040282814351,84.38375898119433,0.0,183.73636197136335,123.77101122068899,54.428571320829434,991.0355246670122,20.585042056721104,54.92471365259726,113.17979907571164,129.00127473452224,10.039231694858728,3.617525230471939
Livorno,2708.548413331261,553.3028298974484,2041.9007132406714,255.83634367888388,120.92792199385839,2152.00484920052,759.75571126967,106.53712568337924,183.73636197136335,0.0,86564.79659109474,610.9709331902335,5127.683922486263,161.54087346931504,5813.188182565732,692.3986467121205,1069.648062397128,520.934515909619,321.59620985030267
Pisa,1742.8841101285086,357.39489687838983,1335.9456339130115,166.3682701016294,81.60320714542102,1445.1263296867173,509.9880344146523,71.6403415222334,123.77101122068899,86564.79659109474,0.0,413.88158449731355,3439.035465313531,107.82880063401831,3586.5252497669994,463.7754832353032,712.4807328116859,342.0872508269547,213.60904372039138
Foggia,189.0246901784851,45.191230425775764,200.04556730673252,21.46718629545115,36.85414592335925,1148.3812255274645,183.79390425929031,29.621443361584593,54.428571320829434,610.9709331902335,413.88158449731355,0.0,1047.813846953434,29.388567136553682,193.72216527763976,134.53401197496876,201.89956017768932,39.584818271026165,10.73221905661459
Siracusa,2257.7199417319457,552.2390451876156,2911.6531551158914,284.07872611863064,568.9199187487307,4450.675880576028,8152.92621822819,689.5880338569486,991.0355246670122,5127.683922486263,3439.035465313531,1047.813846953434,0.0,1342.5586433247915,1506.3448583271486,18787.524640039865,5824.131753163051,264.0876623538076,106.0620058825083
Agrigento,78.35391742026367,19.72730545880977,109.0789842908452,10.184086187786226,12.032494827064113,130.68376052355745,136.82580895522432,13.969289628286296,20.585042056721104,161.54087346931504,107.82880063401831,29.388567136553682,1342.5586433247915,0.0,48.06990037274359,250.25633901517335,370.3468153931435,8.371705852594905,3.35570037546141
Grosseto,770.9061847035815,168.23255765282627,599.1092486367987,73.67238816039185,35.900506947139164,701.8795364749261,227.07671524806148,31.987074671702683,54.92471365259726,5813.188182565732,3586.5252497669994,193.72216527763976,1506.3448583271486,48.06990037274359,0.0,203.50594601567784,326.0295401942206,286.220260257367,55.040258688272495
Ragusa,314.5443584594314,77.35834473558444,414.9936442951153,39.99846597754784,65.78060510285474,576.4922302588537,850.2549523893858,77.63100138410383,113.17979907571164,692.3986467121205,463.7754832353032,134.53401197496876,18787.524640039865,250.25633901517335,203.50594601567784,0.0,897.8778072310643,35.492042658859226,14.406087550583711
Palermo,521.1998383149557,134.37965634803277,724.9813288974057,67.42990759233759,74.55830300280365,954.1907219119378,804.3283850321576,88.1570720471421,129.00127473452224,1069.648062397128,712.4807328116859,201.89956017768932,5824.131753163051,370.3468153931435,326.0295401942206,897.8778072310643,0.0,57.83540950046495,21.6813528753875
Viterbo,107.77439436085703,24.973644903760217,92.8927317852488,10.918930422217418,6.550427337470333,143.85777105558168,40.83958168341226,5.83462781489713,10.039231694858728,520.934515909619,342.0872508269547,39.584818271026165,264.0876623538076,8.371705852594905,286.220260257367,35.492042658859226,57.83540950046495,0.0,6.580563689745649
Imperia,63.91915101087837,11.982258898579689,46.07970703262019,5.969380282988254,2.3806362929080294,38.39384323798387,15.255536556656985,2.1051625711770408,3.617525230471939,321.59620985030267,213.60904372039138,10.73221905661459,106.0620058825083,3.35570037546141,55.040258688272495,14.406087550583711,21.6813528753875,6.580563689745649,0.0
