Torino, Genova,0
Torino,Pavia,0
Torino,Milano,86
Torino,Brescia,4
Torino,Verona,4
Torino,Vicenza,2
Torino,Padova,2
Torino,Venezia,6
Torino,Treviso,0
Torino,Udine,0
Torino,Trieste,2
Genova,Pavia,2
Genova,Milano,2
Genova,Brescia,2
Genova,Verona,2
Genova,Vicenza,2
Genova,Padova,2
Genova,Venezia,2
Pavia,Milano,2
Pavia,Brescia,2
Pavia,Verona,2
Pavia,Vicenza,2
Pavia,Padova,2
Pavia,Venezia,2
Milano,Brescia,64
Milano,Verona,62
Milano,Vicenza,50
Milano,Padova,50
Milano,Venezia,50
Milano,Treviso,2
Milano,Udine,2
Milano,Trieste,8
Brescia,Verona,62
Brescia,Vicenza,50
Brescia,Padova,50
Brescia,Venezia,60
Brescia,Treviso,2
Brescia,Udine,2
Brescia,Trieste,8
Verona,Vicenza,50
Verona,Padova,50
Verona,Venezia,60
Verona,Treviso,2
Verona,Udine,2
Verona,Trieste,8
Vicenza,Padova,50
Vicenza,Venezia,60
Vicenza,Treviso,2
Vicenza,Udine,2
Vicenza,Trieste,6
Padova,Venezia,60
Padova,Treviso,2
Padova,Udine,2
Padova,Trieste,6
Venezia,Treviso,2
Venezia,Udine,2
Venezia,Trieste,8
